1622830500000,36990.00000000,37159.79000000,36986.93000000,37124.16000000,427.12392800,1622831399999,15838584.31177103,9992,210.33649100,7799505.05296026,0
1622831400000,37124.16000000,37168.85000000,36988.13000000,37098.62000000,563.30080900,1622832299999,20893963.79639402,12120,269.62393800,10001750.61808025,0
1622832300000,37099.75000000,37164.08000000,37064.87000000,37099.27000000,407.86978800,1622833199999,15142575.36144092,10446,197.17017400,7320808.32697923,0
1622833200000,37099.28000000,37195.00000000,37000.00000000,37099.93000000,488.77828800,1622834099999,18132726.93564030,11238,208.94139000,7752885.43273938,0
1622834100000,37099.93000000,37132.99000000,36972.01000000,37076.56000000,459.73013300,1622834999999,17027056.39559651,10001,211.51780800,7834070.89889004,0
1622835000000,37078.40000000,37117.84000000,36819.41000000,36905.04000000,613.40432100,1622835899999,22679606.51882055,12403,241.88966900,8943018.16488494,0
1622835900000,36905.04000000,36985.71000000,36708.00000000,36800.99000000,613.05360800,1622836799999,22577764.44808267,13214,306.15306100,11274977.94334398,0
1622836800000,36801.00000000,36938.77000000,36793.74000000,36898.35000000,339.57680000,1622837699999,12526887.79344452,9156,170.68809200,6296410.04463752,0
1622837700000,36898.39000000,37072.07000000,36886.38000000,37065.35000000,463.38642100,1622838599999,17130867.64809096,9243,267.22019900,9879557.29077684,0
1622838600000,37065.35000000,37117.52000000,36982.19000000,37062.42000000,469.80090200,1622839499999,17410897.93592539,8578,263.86762500,9781586.10718775,0
1622839500000,37062.42000000,37112.09000000,36940.78000000,37032.57000000,300.49106500,1622840399999,11130612.76585155,7740,142.41402700,5274746.36850538,0
1622840400000,37032.58000000,37245.60000000,37023.08000000,37136.95000000,513.44175800,1622841299999,19068669.63226984,12488,279.68652600,10386170.10292844,0
1622841300000,37139.69000000,37246.99000000,37124.66000000,37141.43000000,341.32133400,1622842199999,12691174.77627474,9104,139.98584000,5204782.87535112,0
1622842200000,37141.78000000,37210.04000000,37100.00000000,37210.04000000,403.51435500,1622843099999,14996126.06015264,9346,160.09846000,5948053.54467684,0
1622843100000,37210.04000000,37229.14000000,37098.18000000,37199.51000000,407.28423600,1622843999999,15138368.87872603,8481,195.90718700,7281439.95870442,0
1622844000000,37199.52000000,37246.12000000,37070.61000000,37168.85000000,474.05355300,1622844899999,17618062.04774682,10981,257.84919700,9585056.11722069,0
1622844900000,37170.37000000,37185.16000000,37069.44000000,37107.19000000,287.20200500,1622845799999,10660192.99711814,7748,124.42486400,4617951.92493494,0
1622845800000,37107.19000000,37200.00000000,37085.83000000,37099.99000000,301.00302900,1622846699999,11179194.30989037,6931,108.16085100,4017879.40886913,0
1622846700000,37100.00000000,37219.81000000,37081.93000000,37088.40000000,207.24356400,1622847599999,7700233.25213930,6003,97.64968700,3628485.04570296,0
1622847600000,37088.37000000,37203.53000000,36462.42000000,36590.30000000,1148.24038600,1622848499999,42235520.25791785,22875,509.61463200,18747197.66317637,0
1622848500000,36590.30000000,36879.00000000,36491.47000000,36797.18000000,830.22065700,1622849399999,30471452.57359658,14555,438.26207300,16083851.16152985,0
1622849400000,36797.17000000,37110.92000000,36729.10000000,37045.16000000,522.52889400,1622850299999,19286582.76656858,11927,259.77439400,9591163.37771531,0
1622850300000,37046.05000000,37090.39000000,36765.64000000,36829.00000000,575.42935500,1622851199999,21236668.96829643,10924,287.04005600,10591674.66024605,0
1622851200000,36829.15000000,37140.77000000,36613.22000000,37102.87000000,672.87213900,1622852099999,24829004.24105726,17326,362.29073700,13371495.37870134,0
1622852100000,37102.88000000,37338.42000000,37097.41000000,37296.67000000,721.10627100,1622852999999,26837921.72297502,15903,394.29265900,14673942.11094828,0
1622853000000,37296.68000000,37629.64000000,37250.96000000,37604.63000000,1208.59659100,1622853899999,45319426.10321287,23862,606.06465900,22719903.66539403,0
1622853900000,37604.64000000,37800.00000000,37483.00000000,37684.66000000,1106.70840300,1622854799999,41647507.49235207,20956,568.92219700,21413613.41772769,0
1622854800000,37682.84000000,37722.21000000,37557.22000000,37640.45000000,567.10733200,1622855699999,21335137.19686139,11033,317.99672200,11965800.43452893,0
1622855700000,37640.46000000,37652.29000000,37550.00000000,37590.79000000,294.73184400,1622856599999,11078613.56544547,7692,139.46155000,5242062.65584576,0
1622856600000,37590.79000000,37788.37000000,37590.78000000,37735.54000000,437.10987400,1622857499999,16474068.43414724,10710,223.95824700,8438931.46649633,0
1622857500000,37735.55000000,37846.60000000,37662.00000000,37688.50000000,440.63818700,1622858399999,16632201.99591443,10970,205.87373700,7773792.44968779,0
1622858400000,37688.50000000,37761.42000000,37543.54000000,37558.15000000,680.96777500,1622859299999,25636473.76677565,12038,304.36407000,11457250.59278532,0
1622859300000,37558.15000000,37649.94000000,37475.92000000,37490.05000000,431.71995400,1622860199999,16220916.02784675,9192,191.03581400,7178061.25284200,0
1622860200000,37490.06000000,37517.16000000,37336.11000000,37444.07000000,592.19919200,1622861099999,22168102.22785143,11153,292.32488800,10943019.99363648,0
1622861100000,37444.08000000,37719.42000000,37443.25000000,37639.91000000,482.58747400,1622861999999,18135779.86600077,10218,260.50218300,9791299.31367591,0
1622862000000,37639.92000000,37748.88000000,37486.12000000,37527.30000000,424.71696600,1622862899999,15983474.27566464,10017,173.04525000,6513965.87045013,0
1622862900000,37527.29000000,37582.22000000,37450.00000000,37558.01000000,377.06770800,1622863799999,14144504.05078545,8427,152.95403200,5738227.26343530,0
1622863800000,37556.22000000,37620.00000000,37386.18000000,37418.99000000,352.07642200,1622864699999,13204277.81791621,7771,153.44049200,5754101.16579517,0
1622864700000,37417.07000000,37479.75000000,37375.34000000,37410.00000000,236.24728800,1622865599999,8842378.02581923,6053,110.00120300,4117310.58573080,0
1622865600000,37410.04000000,37640.00000000,37410.04000000,37533.99000000,474.15507200,1622866499999,17803946.35132929,10930,273.51261400,10269370.78447763,0
1622866500000,37534.00000000,37551.00000000,37414.85000000,37472.99000000,364.20118100,1622867399999,13651741.64210758,7642,148.94810100,5583859.49146277,0
1622867400000,37471.24000000,37620.00000000,37436.76000000,37502.51000000,450.06858300,1622868299999,16900054.67663999,7709,218.84172900,8216702.04075256,0
1622868300000,37503.22000000,37717.93000000,37475.00000000,37675.10000000,459.16780200,1622869199999,17278695.31738683,8850,197.70867300,7438909.30471092,0
1622869200000,37675.10000000,37750.00000000,37579.26000000,37603.89000000,458.61212700,1622870099999,17263456.29179440,9105,233.49966500,8788450.00939764,0
1622870100000,37603.89000000,37643.79000000,37524.56000000,37578.62000000,235.62973400,1622870999999,8852256.77405791,6504,109.67161100,4120572.92829075,0
1622871000000,37578.61000000,37590.01000000,37467.67000000,37511.57000000,333.88364900,1622871899999,12531293.91267633,8953,154.26329700,5790010.94515919,0
1622871900000,37511.57000000,37635.46000000,37502.17000000,37597.98000000,255.09090800,1622872799999,9584685.75018255,7089,118.49136600,4452179.33535321,0
1622872800000,37597.98000000,37837.04000000,37558.00000000,37753.33000000,490.55598000,1622873699999,18507855.12110567,12052,277.65857700,10475800.59037364,0
1622873700000,37753.34000000,37813.49000000,37650.00000000,37742.25000000,351.32113100,1622874599999,13254875.89348189,8898,167.30785700,6311877.86932825,0
1622874600000,37742.24000000,37760.87000000,37635.10000000,37644.39000000,461.77795700,1622875499999,17396804.96366871,9293,175.56533600,6614717.43472036,0
1622875500000,37644.39000000,37750.00000000,37611.44000000,37703.00000000,269.72104800,1622876399999,10168548.34120311,9269,129.07092100,4865773.47266497,0
1622876400000,37700.43000000,37900.00000000,37690.00000000,37830.02000000,612.72815600,1622877299999,23173529.21045535,14863,344.96008500,13046353.10548735,0
